total_amount,generated_clients,attended_clients,clients_type1,clients_type2,clients_type3,clients_type4,final_time,avg_wait_seller,avg_wait_technician,avg_wait_special,avg_time_in_system,seller_utilization,technician_utilization,special_utilization,seller_idle_pct,technician_idle_pct,special_idle_pct
4900,23,23,14,4,1,4,497.9460638610887,0,0,0,19.65192181446407,12.488869490907287,23.02285106173664,0.11916652728249276,87.51113050909271,76.97714893826335,99.88083347271751
6600,21,21,8,6,3,4,490.196753907373,0,0,0,19.45858921794849,12.039467507054468,19.37540715377912,2.926171353078352,87.96053249294553,80.62459284622088,97.07382864692165
6450,21,21,8,7,2,4,493.22678292657304,0,0,0,20.857582277729872,11.477857064809484,19.864076164915595,8.703979840702443,88.52214293519052,80.13592383508441,91.29602015929756
5350,23,23,12,6,2,3,490.5168022624003,0,0,0,20.351768229208,11.366583150282748,21.49293925883064,10.30690535456427,88.63341684971725,78.50706074116937,89.69309464543574
6600,23,23,11,6,0,6,535.0306484702293,0,0,0,29.440307145995362,11.849158440158527,39.12327384252579,0.0,88.15084155984147,60.87672615747421,100.0
5500,23,23,13,5,0,5,466.3992289006115,0,0,0,15.63883265886832,12.826302803811929,16.427822516484518,0.0,87.17369719618807,83.57217748351547,100.0
7300,22,22,9,3,5,5,463.6427735014242,0,0,0,18.41429597596253,11.268739167272274,18.197170182823484,7.269867673479951,88.73126083272773,81.80282981717652,92.73013232652005
5950,22,22,9,7,4,2,478.73824149650557,0,0,0,20.375807053609773,12.46486570068464,21.502735376813188,3.951178130569285,87.53513429931536,78.49726462318681,96.04882186943071
5900,22,22,11,4,3,4,462.961588118365,0,0,0,17.30906675484915,11.301875401898664,17.798935059320613,3.3326666446327895,88.69812459810133,82.20106494067939,96.6673333553672
7350,21,21,8,6,0,7,504.37553510441654,0,0,0,15.729549732671698,10.79809465150747,15.740196925807917,0.0,89.20190534849253,84.25980307419208,100.0
4000,24,24,16,5,0,3,481.8676351945063,0,0,0,23.50030731940109,13.001554270150862,29.775595072512417,2.171642839166511,86.99844572984914,70.22440492748758,97.82835716083349
5900,23,23,12,4,3,4,493.90241302025873,0,0,0,22.871907114617592,12.757991830875657,24.35831341376444,11.003631021164658,87.24200816912435,75.64168658623556,88.99636897883533
6600,23,23,10,6,3,4,494.9445616329973,0,0,0,24.97899717999298,13.133376095708568,23.378665324777455,19.692856867353996,86.86662390429143,76.62133467522254,80.307143132646
6450,21,21,8,7,2,4,479.38029022751846,0,0,0,18.182523472638177,10.44762544978976,16.22413507941665,9.980884054962564,89.55237455021025,83.77586492058334,90.01911594503744
5700,22,22,10,7,2,3,484.09138827490443,0,0,0,18.346719018303897,11.172803109270179,19.932106077931383,1.9472043815583755,88.82719689072982,80.06789392206862,98.05279561844162
8250,23,23,8,5,4,6,489.32445933210965,0,0,0,17.02928149644696,12.227824434643683,14.966944544539288,12.242158000903123,87.77217556535632,85.03305545546071,87.75784199909688
6750,23,23,11,5,1,6,479.74448326419554,0,0,0,13.767240905936967,10.926031719373878,12.860176145756435,5.5354374649308795,89.07396828062612,87.13982385424356,94.46456253506912
6150,22,22,11,4,2,5,494.7656279927313,0,0,0,23.552644984409245,11.594395743412553,27.165181774207387,3.265286035761742,88.40560425658745,72.83481822579262,96.73471396423825
9950,24,24,5,7,6,6,488.6886610069762,0,0,0,14.38814337121579,13.575543735392834,9.148972435750585,17.342712078041533,86.42445626460716,90.85102756424942,82.65728792195847
